// Gerado por `qualis coletar-eventos`. Edite à mão se precisar:
// linhas iniciadas por // são ignoradas, e a coluna h5 vence.
// h5_fonte=scholar é o dado que o Documento de Área manda usar;
// h5_fonte=sbc-2024 é a coluna da planilha da SBC, que está
// desatualizada e serve só como referência.
// ambiguo=1: o Scholar tem mais de uma entrada para o evento,
// com h5 diferentes; ficamos com o maior. Confira esses casos.
// anos_tradicao fica vazio: não há fonte verificável em massa.
sigla,nome,h5,ce_sbc,anos_tradicao,segue_gt_capes,h5_fonte,h5_sbc,ambiguo,ces,entradas_scholar
CANS,Cryptology and Network Security,16,relevante,,1,scholar,17,0,CE-SEG,Cryptology and Network Security (h5=16)
CapaIHC,"Workshop CAPA - Culturas, Alteridades e Participações em IHC",,relevante,,1,nenhum,0,0,CE-IHC,
CASA,International Conference on Computer Animation and Social Agents,9,top20,,1,scholar,17,1,CE-GRAPI|CE-JOGOS,Mélanges de la Casa de Velázquez. Nouvelle série (h5=9) || Arquivos Médicos dos Hospitais e da Faculdade de Ciências Médicas da Santa Casa de São Paulo (h5=5) || Revista da Casa da Geografia de Sobral (RCGS) (h5=5) || Revista de la Casa de las Américas (h5=4)
CASE,IEEE Conference on Automation Science and Engineering,92,top10,,1,scholar,24,1,CE-ESC|CE-R,"Case Studies in Thermal Engineering (h5=92) || Case Studies in Construction Materials (h5=90) || Case Studies in Chemical and Environmental Engineering (h5=63) || BMJ Case Reports CP (h5=57) || Case Studies on Transport Policy (h5=48) || JAAD Case Reports (h5=33) || American Journal of Case Reports (h5=31) || IEEE International Conference on Automation Science and Engineering, CASE (h5=30) || Journal of Medical Case Reports (h5=28) || American Journal of Ophthalmology Case Reports (h5=27) || Clinical Case Reports (h5=27) || European Journal of Case Reports in Internal Medicine (h5=26) || European Heart Journal-Case Reports (h5=25) || Respiratory Medicine Case Reports (h5=25) || Radiology Case Reports (h5=25) || International Journal of Surgery Case Reports (h5=25) || Journal of Investigative Medicine High Impact Case Reports (h5=24) || Medical Mycology Case Reports (h5=19) || HeartRhythm Case Reports (h5=19) || Case Reports in Dentistry (h5=19) || International Conference on Mechanical Engineering and Automation Science (h5=5)"
CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",48,relevante,,1,scholar,15,1,CE-ACPAD|CE-CCI|CE-LP,"World Journal of Clinical Cases (h5=48) || Spinal Cord Series and Cases (h5=20) || Retinal Cases and Brief Reports (h5=19) || Journal of Vascular Surgery Cases, Innovations and Techniques (h5=17) || Journal of Cases in Educational Leadership (h5=16) || South Asian Journal of Business and Management Cases (h5=15) || Clinical Practice and Cases in Emergency Medicine (h5=15) || Journal of Information Technology Teaching Cases (h5=15) || Journal of Medical Cases (h5=14) || Journal of Cardiology Cases (h5=12) || Journal of Cases on Information Technology (h5=11) || Oral and Maxillofacial Surgery Cases (h5=9) || Foot & Ankle Surgery: Techniques, Reports & Cases (h5=9) || GMS Ophthalmology Cases (h5=8) || Archive of Clinical Cases (h5=7) || Annals of Internal Medicine: Clinical Cases (h5=5) || JOSPT Cases (h5=5) || Tourism Cases (h5=4) || General Thoracic and Cardiovascular Surgery Cases (h5=2) || European Employment Law Cases (h5=1)"
CATE,Computers and Advanced Technology in Education,,relevante,,1,nenhum,,0,CE-IE,
CAV,International Conference on Computer Aided Verification,44,top10,,1,scholar,39,0,CE-MF,International Conference on Computer Aided Verification (CAV) (h5=44)
CBA,Congresso Brasileiro de Automática,8,relevante,,1,scholar,,0,CE-R|CE-RV,Congresso Brasileiro de Automática-CBA (h5=8)
CBEB,Congresso Brasileiro de Engenharia Biomédica,,relevante,,1,nenhum,1,0,CE-CAS|CE-RV,
CBI,IEEE Conference on Business Informatics,18,top20,,1,scholar,21,0,CE-SI,Conference on Business Informatics (h5=18)
CBIC,Brazilian Congress on Computational Intelligence,39,relevante,,1,scholar,,0,CE-IA,Computational Intelligence (h5=39)
